Command,Intent
Play a track by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play song by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play some music by artist,Play_Music_Spotify
Play song by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play song by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play some music by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play song by artist,Play_Music_Spotify
Play song by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play artist's song by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play the song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play the latest song by artist,Play_Music_Spotify
Play artist on Spotify by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play a track by artist,Play_Music_Spotify
Play artist's music by artist,Play_Music_Spotify
Play music by artist,Play_Music_Spotify
Play the track by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
Play some music by artist,Play_Music_Spotify
Play song by artist,Play_Music_Spotify
Play the song by artist on Spotify by artist,Play_Music_Spotify
